Year,Sector ID,Sector,GDP
2011,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",113587.6911
2011,21,Minería,319061.9815
2011,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",56174.41836
2011,23,Construcción,239436.714
2011,31-33,Industrias manufactureras,676413.4329
2011,43,Comercio al por mayor,324023.2354
2011,46,Comercio al por menor,337240.5624
2011,48-49,"Transportes, correos y almacenamiento",245546.3337
2011,51,Información en medios masivos,80021.58537
2011,52,Servicios financieros y de seguros,114667.8535
2011,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,395535.685
2011,54,"Servicios profesionales, científicos y técnicos",76166.62837
2011,55,Dirección y administración de grupos empresariales o corporativos,18235.53441
2011,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",126346.7597
2011,61,Servicios educativos,146656.8851
2011,62,Servicios de salud y de asistencia social,83853.05911
2011,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",19901.42909
2011,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,88676.45009
2011,81,Otros servicios excepto actividades gubernamentales,78514.33377
2011,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",150595.337
2012,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",125985.5921
2012,21,Minería,322153.2633
2012,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",53791.89291
2012,23,Construcción,256146.4733
2012,31-33,Industrias manufactureras,776879.4095
2012,43,Comercio al por mayor,362148.5106
2012,46,Comercio al por menor,370361.764
2012,48-49,"Transportes, correos y almacenamiento",269395.1909
2012,51,Información en medios masivos,81677.96389
2012,52,Servicios financieros y de seguros,121633.7543
2012,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,414152.6014
2012,54,"Servicios profesionales, científicos y técnicos",80886.00964
2012,55,Dirección y administración de grupos empresariales o corporativos,20892.94601
2012,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",138585.737
2012,61,Servicios educativos,161086.1499
2012,62,Servicios de salud y de asistencia social,90135.43158
2012,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",21032.65389
2012,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,96626.06104
2012,81,Otros servicios excepto actividades gubernamentales,83906.55779
2012,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",164299.531
2013,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",128196.4787
2013,21,Minería,287580.0974
2013,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",58792.9519
2013,23,Construcción,249794.2954
2013,31-33,Industrias manufactureras,767292.0068
2013,43,Comercio al por mayor,365800.4208
2013,46,Comercio al por menor,381510.0785
2013,48-49,"Transportes, correos y almacenamiento",284880.6453
2013,51,Información en medios masivos,84308.72946
2013,52,Servicios financieros y de seguros,142138.5792
2013,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,431918.7664
2013,54,"Servicios profesionales, científicos y técnicos",83352.49956
2013,55,Dirección y administración de grupos empresariales o corporativos,20834.02363
2013,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",146839.2102
2013,61,Servicios educativos,169663.5197
2013,62,Servicios de salud y de asistencia social,97563.72176
2013,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",22401.801
2013,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,100966.1529
2013,81,Otros servicios excepto actividades gubernamentales,88483.05933
